frame;y;z;x
438;1.47613;-1.40396;-1.70031
438;1.51457;-0.786965;-1.79329
438;1.58866;-0.907795;-1.74432
438;1.60499;-0.829297;-1.70784
438;1.63417;-0.844375;-1.73889
439;1.31762;-1.51097;-1.71871
439;1.58069;-1.46582;-1.63803
439;1.74984;-1.46512;-1.56542
439;1.84354;-1.52117;-1.49885
439;1.97;-1.40501;-1.62665
439;2.00078;-1.42696;-1.65207
439;2.03156;-1.44891;-1.67748
439;1.48697;-1.10818;-1.64701
439;1.5391;-0.969496;-1.7502
439;1.51189;-1.0478;-1.78791
439;1.34313;-1.24032;-1.84214
439;1.38846;-1.36251;-1.79094
439;1.50114;-1.42776;-1.72913
439;1.93945;-1.36974;-1.4599
439;1.97;-1.40501;-1.62665
439;2.00078;-1.42696;-1.65207
439;1.96462;-1.518;-1.68536
439;2.06234;-1.47087;-1.7029
439;1.59394;-0.991076;-1.63439
439;1.58866;-0.907795;-1.74432
439;1.61702;-0.924005;-1.77547
439;1.47822;-1.12631;-1.82635
439;1.89327;-1.58521;-1.69373
439;1.90422;-2.6976;-2.91934
440;1.90766;-1.34728;-1.43597
440;1.99659;-1.30387;-1.45315
440;2.13454;-1.1867;-1.46445
440;1.51401;-1.12833;-1.67696
440;1.65191;-1.02712;-1.69382
440;2.16729;-1.20011;-1.2414
440;2.15429;-1.19491;-1.35118
440;2.2802;-1.06974;-1.36243
440;2.10133;-1.37615;-3.02687
440;2.04238;-2.59243;-2.87171
440;2.06323;-2.61888;-2.90101
440;1.5705;-1.06958;-1.67031
440;1.70129;-0.963864;-1.68795
440;1.5037;-1.14573;-1.85784
440;2.10133;-1.37615;-3.02687
441;1.59145;-1.16521;-1.59157
441;1.72832;-1.06363;-1.60718
441;1.77746;-0.914745;-1.71203
441;1.89074;-0.791241;-1.73158
441;1.65207;-1.50041;-1.54783
441;1.87765;-1.33915;-1.5504
441;1.96735;-1.29451;-1.56886
441;1.99908;-1.31539;-1.59416
441;1.64663;-1.10591;-1.58507
441;1.72832;-1.06363;-1.60718
441;1.77746;-0.914745;-1.71203
441;1.89074;-0.791241;-1.73158
441;1.65207;-1.50041;-1.54783
441;1.87765;-1.33915;-1.5504
441;2.05506;-1.24608;-1.58752
441;2.12521;-1.39179;-3.06126
442;1.70987;-1.06315;-1.75325
442;1.77746;-0.914745;-1.71203
442;1.83919;-1.03511;-1.6576
442;1.81928;-1.11962;-1.69177
442;1.92325;-1.1739;-1.62815
442;2.02932;-1.32524;-1.47697
442;1.99439;-1.541;-1.7109
442;1.69067;-1.22015;-1.53398
442;1.80802;-1.01756;-1.62951
442;1.88565;-0.967657;-1.65204
442;1.87037;-1.05265;-1.6857
442;2.04036;-1.13785;-1.5311
442;2.13926;-1.28473;-1.37934
442;1.95762;-1.41281;-1.77619
442;2.06234;-1.47087;-1.7029
442;2.28537;-1.37835;-1.61282
442;2.31897;-1.39862;-1.63654
442;2.21448;-2.71512;-1.48972
443;1.89573;-0.883403;-1.61899
443;2.03686;-0.861712;-1.55357
443;1.76783;-1.09919;-1.81269
443;2.42895;-2.17048;-2.96049
443;2.59681;-2.26046;-2.83907
443;1.76425;-1.1849;-1.69829
443;1.94957;-1.00046;-1.70805
443;1.94206;-1.08738;-1.59547
443;1.99166;-0.743557;-1.78578
443;1.90937;-1.45752;-1.49113
443;2.06205;-1.34662;-1.50079
443;2.27728;-1.36762;-1.46833
443;2.25176;-1.35808;-1.5891
443;2.28537;-1.37835;-1.61282
443;2.43682;-1.35162;-1.52838
443;2.24465;-2.57829;-1.57894
443;2.13926;-1.28473;-1.37934
443;2.22493;-1.23409;-1.39548
443;2.36619;-1.31244;-1.48408
443;2.51419;-2.45341;-1.43409
444;2.00306;-0.755962;-1.63782
444;2.09828;-0.617461;-1.65797
444;2.088;-0.530461;-1.6272
444;2.14474;-0.459845;-1.65201
444;1.82068;-1.0315;-1.80641
444;1.98153;-1.01686;-1.73605
444;2.15396;-0.122473;-1.61791
444;1.4619;-1.67203;-1.4604
444;1.8694;-0.962059;-1.80059
444;2.31179;-1.38834;-1.49057
444;2.40151;-1.33203;-1.50623
444;2.30795;-1.28707;-1.7319
445;1.90969;-1.06926;-1.56888
445;1.98874;-1.01854;-1.58988
445;2.06205;-1.34662;-1.50079
445;1.87733;-1.05113;-1.54229
445;1.95559;-1.00157;-1.56338
445;2.03183;-0.948183;-1.58469
445;2.0657;-0.963986;-1.6111
445;1.83897;-1.32718;-1.66854
445;2.05506;-1.24608;-1.58752
445;1.92245;-0.984592;-1.53688
445;2.09964;-0.892574;-1.4657
445;2.07139;-0.876317;-1.5799
445;2.10591;-0.890922;-1.60623
445;1.89888;-1.26102;-1.66147
445;2.03916;-1.14175;-1.67524
445;2.29555;-1.37393;-1.3511
445;2.13502;-0.820412;-1.46137
445;2.17121;-0.834317;-1.48614
445;2.20739;-0.848223;-1.51091
445;1.99856;-1.62635;-3.18771
446;1.97346;-1.10054;-1.4809
446;2.00691;-1.11919;-1.506
446;1.92325;-1.1739;-1.62815
446;1.98153;-1.01686;-1.73605
446;2.11733;-1.277;-1.49423
446;2.06094;-0.963325;-1.47039
446;2.09587;-0.979652;-1.49532
446;2.02189;-1.03552;-1.61638
446;2.09956;-0.979789;-1.63752
446;2.10093;-0.884205;-1.75349
446;2.58117;-1.31905;-1.44198
446;2.13502;-0.820412;-1.46137
446;2.17121;-0.834317;-1.48614
446;2.17564;-0.74025;-1.59767
446;2.2064;-0.937959;-1.54023
446;2.24199;-0.953088;-1.56507
447;2.14667;-1.4937;-1.34379
447;2.18021;-1.51703;-1.36478
447;2.29759;-1.58983;-1.30933
447;2.21474;-1.65945;-1.43557
447;2.29654;-0.615642;-1.49979
447;2.43811;-0.491023;-1.427
447;2.27977;-0.876033;-1.56045
447;0.862201;-2.14451;-1.55364
447;2.17709;-1.61027;-1.16534
447;2.2879;-1.47134;-1.26327
447;2.3583;-1.51662;-1.30214
447;2.34305;-1.513;-1.42041
447;2.25889;-0.605549;-1.4752
447;2.35588;-0.645182;-1.40956
447;2.40459;-0.289105;-1.5149
447;2.24199;-0.953088;-1.56507
447;0.274126;-2.27136;-1.5343
447;2.50582;-1.386;-1.30818
447;2.31726;-0.634605;-1.38645
447;2.35588;-0.645182;-1.40956
447;2.37683;-0.460585;-1.51881
448;2.21705;-1.13317;-1.48231
448;2.25224;-1.15116;-1.50584
448;2.43212;-1.34523;-1.26971
448;2.4154;-1.44186;-1.29535
448;2.33188;-1.61356;-1.32887
448;2.42869;-1.56189;-1.34101
448;2.32932;-0.724052;-1.41292
448;2.27728;-0.784817;-1.53152
448;2.31698;-1.087;-1.38441
448;2.29755;-1.07583;-1.50037
448;2.43212;-1.34523;-1.26971
448;2.46897;-1.36561;-1.28895
448;2.49653;-1.48736;-1.21644
448;2.4875;-1.48491;-1.33401
448;2.61637;-1.44714;-1.3659
448;2.35588;-0.645182;-1.40956
448;2.30749;-0.706023;-1.52775
448;2.26165;-1.05902;-1.47693
448;2.33934;-0.999003;-1.4953
449;2.34208;-2.14577;-1.4124
449;2.45982;-1.46549;-1.19855
449;2.26624;-0.967784;-1.44858
449;2.34051;-0.906314;-1.46733
449;2.37766;-0.9207;-1.49062
449;2.39054;-1.1215;-1.42836
449;2.48148;-1.26867;-1.26378
449;2.60231;-1.33275;-1.08997
449;2.28312;-0.979203;-1.33564
449;2.35761;-0.919378;-1.35301
449;2.42999;-0.855696;-1.37059
449;2.46857;-0.869278;-1.39235
449;2.47169;-0.963864;-1.41847
449;2.57017;-1.11128;-1.25305
449;2.69179;-1.17273;-1.07913
449;2.66308;-1.47202;-1.26337
449;2.75416;-1.40911;-1.27473
449;2.39142;-0.842113;-1.34884
449;2.46103;-0.775772;-1.36672
449;2.50009;-0.788086;-1.38842
449;3.12647;-2.43805;-1.12208
450;2.58816;-1.43049;-1.00013
450;2.71499;-1.2911;-0.893286
450;2.6882;-1.27214;-1.10055
450;2.40047;-1.66102;-1.36796
450;2.48283;-1.7102;-1.28482
450;2.88586;-1.36568;-1.18148
450;2.9254;-1.38439;-1.19766
450;2.58476;-0.744167;-1.17981
450;2.57942;-0.731745;-1.29143
450;2.50714;-0.882861;-1.4141
450;2.41245;-1.03022;-1.54203
450;2.56578;-1.20872;-1.27729
450;2.47488;-1.5864;-1.24128
450;2.51075;-1.60939;-1.25927
450;2.54662;-1.63238;-1.27725
450;2.97101;-1.29914;-1.07144
450;2.56211;-1.00563;-1.34399
450;2.47488;-1.5864;-1.24128
450;2.51075;-1.60939;-1.25927
450;2.54662;-1.63238;-1.27725
451;2.62679;-1.45184;-1.01506
451;2.66542;-1.47319;-1.02998
451;2.70509;-1.4949;-1.16136
451;2.74319;-1.51596;-1.17771
451;2.95026;-2.4821;-1.38629
451;2.32305;-1.18715;-1.29778
451;2.26023;-1.35279;-1.33031
451;2.3231;-1.49398;-1.2827
451;2.4154;-1.44186;-1.29535
451;2.59079;-1.43174;-1.11228
451;2.32305;-1.18715;-1.29778
451;2.26023;-1.35279;-1.33031
451;2.33086;-1.39507;-1.37189
451;2.56578;-1.20872;-1.27729
451;2.64908;-1.04608;-1.26714
452;2.71631;-1.39285;-1.02387
452;2.4509;-1.1546;-1.2201
452;2.53123;-1.09444;-1.23406
452;2.6885;-0.971147;-1.14853
452;2.5629;-1.31126;-1.1862
452;2.60116;-1.33083;-1.20391
452;2.68;-1.37253;-1.1225
452;2.49229;-1.0776;-1.21508
452;2.6122;-1.03738;-1.13552
452;2.65264;-1.15135;-1.17534
452;2.64837;-1.2504;-1.19821
453;2.79224;-1.02924;-0.865546
453;2.82518;-1.14462;-0.788291
453;2.92886;-1.09216;-0.69954
453;2.71884;-1.39243;-1.13877
453;3.03479;-1.33657;-0.864193
453;3.07636;-1.35488;-0.876031
453;2.31178;-1.28011;-1.32416
453;2.229;-1.54237;-1.27025
453;2.89523;-0.580609;-0.942389
453;2.92605;-0.786654;-0.867153
453;2.87932;-0.956172;-0.984275
453;1.97252;1.76039;-1.44755
453;2.4509;-1.1546;-1.2201
453;2.69191;-2.42743;-1.31926
453;3.40391;-1.95008;0.491232
453;2.80124;-1.17894;-2.33799
453;-0.0852171;-2.82495;-2.32616
453;3.44444;-1.97329;0.49708
453;2.88576;-1.0891;-2.35957
453;0.483239;-2.98111;-2.17346
453;2.69649;-1.38699;-0.803932
453;2.78339;-1.32702;-0.810292
453;2.72507;-1.30267;-0.693358
453;2.74246;-1.30751;-0.798376
453;2.85112;-1.26012;-0.709085
453;3.03479;-1.33657;-0.864193
453;3.07636;-1.35488;-0.876031
454;2.61144;-1.13773;-1.04692
454;2.65161;-1.15523;-1.06302
454;2.69179;-1.17273;-1.07913
454;2.72384;-1.2921;-1.00337
454;2.84028;-1.24646;-0.914575
454;2.97657;-1.2114;-0.724852
454;2.99385;-1.21296;-0.835353
454;2.87327;-2.55332;-0.983924
454;2.60938;-1.04184;-1.02615
454;2.65015;-1.05811;-1.04218
454;2.65161;-1.15523;-1.06302
454;2.72923;-0.985861;-1.16593
454;2.87437;-0.848754;-1.0776
454;2.83986;-2.52363;-0.972483
454;2.96587;-2.46558;-0.97306
454;2.90668;-2.58301;-0.995365
454;2.65015;-1.05811;-1.04218
454;2.69092;-1.07439;-1.05822
454;2.96587;-2.46558;-0.97306
454;2.69786;-1.49187;-0.93178
454;2.78841;-1.4319;-0.939101
454;2.82824;-1.45235;-0.952516
454;3.08353;-1.26042;-0.644415
454;3.06076;-1.35277;-0.761223
454;3.10269;-1.3713;-0.771651
454;4.25588;-1.54845;-1.6445
454;2.77698;-1.42839;-0.827929
454;2.86526;-1.36605;-0.834124
454;2.95164;-1.29995;-0.840516
454;3.17044;-0.973023;-0.732029
454;3.25564;-1.01435;-0.537457
454;3.10269;-1.3713;-0.771651
455;2.8826;-0.877223;-0.76414
455;2.92627;-0.890515;-0.775717
455;2.77698;-1.42839;-0.827929
455;2.88144;-1.26453;-0.927829
455;2.9226;-1.28259;-0.941084
455;3.06161;-1.24601;-0.745562
455;2.98341;-2.47104;-0.722895
455;3.01851;-2.50011;-0.7314
455;2.94831;-2.44197;-0.71439
455;2.98341;-2.47104;-0.722895
455;3.01851;-2.50011;-0.7314
455;2.961;-2.6184;-0.750776
455;2.94831;-2.44197;-0.71439
455;2.98341;-2.47104;-0.722895
455;3.01851;-2.50011;-0.7314
455;3.05361;-2.52918;-0.739904
455;2.75604;-1.11141;-0.870009
455;2.7978;-1.12825;-0.88319
455;2.64387;-1.57089;-0.938241
455;2.78841;-1.4319;-0.939101
455;2.82824;-1.45235;-0.952516
455;2.94712;-1.40508;-0.857956
455;3.01409;-1.44083;-0.766896
455;2.75229;-0.913988;-0.940851
455;2.79224;-1.02924;-0.865546
455;2.83454;-1.04484;-0.878661
455;2.73673;-1.40769;-0.815931
455;2.72644;-1.50889;-0.834006
455;2.83656;-1.34891;-0.933284
455;2.87708;-1.36818;-0.946616
455;2.94712;-1.40508;-0.857956
455;3.06076;-1.35277;-0.761223
456;2.8387;-0.763172;-0.841268
456;2.83454;-1.04484;-0.878661
456;2.83956;-1.14508;-0.896372
456;2.99295;-1.12203;-0.612892
456;3.03633;-1.13829;-0.621775
456;3.07971;-1.15455;-0.630657
456;3.12308;-1.17081;-0.63954
456;3.12484;-2.42428;-0.601105
456;3.16117;-2.45247;-0.608095
456;2.89023;-1.38162;-0.73538
456;2.93152;-1.40135;-0.745885
456;4.10294;-2.10693;-1.38182
456;1.73638;-0.78982;4.1476
456;2.71822;-0.89491;-1.03375
456;2.7978;-1.12825;-0.88319
456;2.76752;-1.21016;-0.998058
456;2.84894;-1.36188;-0.724875
456;2.89023;-1.38162;-0.73538
456;2.97691;-1.31571;-0.740368
456;3.01884;-1.33424;-0.750796
456;3.06076;-1.35277;-0.761223
456;3.08904;-2.55654;-0.497415
456;4.07184;-1.92692;-1.66702
456;2.03542;-0.757468;4.04031
456;2.6764;-0.881142;-1.01785
456;2.78177;-0.830447;-0.937142
456;2.77581;-0.515845;-1.22712
456;2.7978;-1.12825;-0.88319
456;2.79911;-1.2284;-0.90132
456;2.95505;-1.2079;-0.617564
456;2.99788;-1.22541;-0.626514
456;2.97691;-1.31571;-0.740368
456;3.08353;-1.26042;-0.644415
456;3.12636;-1.27792;-0.653365
456;3.03816;-2.51454;-0.611311
456;3.07348;-2.54378;-0.61842
457;2.82518;-1.14462;-0.788291
457;2.82693;-1.24503;-0.805001
457;3.00283;-2.4853;-0.604203
457;3.13989;-2.43676;-0.481527
457;3.01802;-2.49777;-0.48598
457;2.99347;-2.47897;-0.363882
457;2.78256;-0.931451;-0.848373
457;2.82153;-0.76722;-0.737637
457;2.86562;-0.779208;-0.749162
457;2.88237;-0.774913;-0.854211
457;2.91847;-0.679667;-0.959406
457;2.81516;-1.55673;-0.972292
457;2.88449;-1.59636;-0.882355
457;2.95127;-0.531993;-0.649231
457;2.99757;-0.340792;-0.748725
457;2.50591;-1.70681;-0.73504
457;2.71142;-1.50224;-0.725969
457;2.82286;-1.45765;-0.633634
457;2.85747;-1.4698;-0.851927
457;2.84498;-1.57449;-0.870267
457;2.91079;-1.6127;-0.779349
457;2.58057;-1.427;-0.891268
457;2.69649;-1.38699;-0.803932
457;2.80765;-1.34214;-0.714369
457;2.89305;-1.27865;-0.719513
457;2.80546;-1.55262;-0.85818
457;3.03816;-2.51454;-0.611311
457;3.07348;-2.54378;-0.61842
457;2.94009;-2.6127;-1.00681
458;3.05353;-2.52715;-0.491697
458;3.08904;-2.55654;-0.497415
458;2.79525;-0.850641;-0.740984
458;2.83892;-0.863932;-0.752562
458;3.22991;-2.16282;2.04898
458;3.98319;-1.76046;-0.990633
458;2.75157;-0.83735;-0.729406
458;2.79525;-0.850641;-0.740984
458;2.83892;-0.863932;-0.752562
458;2.81923;-1.04539;-0.772061
458;2.7978;-1.12825;-0.88319
458;2.80014;-0.769334;-0.637216
458;2.84459;-0.781545;-0.647331
458;2.83892;-0.863932;-0.752562
458;2.81923;-1.04539;-0.772061
458;2.83454;-1.04484;-0.878661
458;2.88177;-1.49137;-0.544847
458;2.79797;-1.66441;-0.664805
458;3.14498;-1.29099;-0.551214
458;2.83892;-0.863932;-0.752562
458;2.79224;-1.02924;-0.865546
458;2.85295;-1.58285;-0.658222
458;2.87935;-2.71339;-0.394295
458;2.91283;-2.74494;-0.39888
458;3.02911;-2.50848;-0.368214
458;2.96278;-2.61568;-0.502356
458;2.99723;-2.64609;-0.508197
459;4.04411;-2.24743;-0.787099
459;2.67956;-0.90365;-0.72139
459;2.74525;-0.93223;-0.644155
459;2.78883;-0.947028;-0.65438
459;2.81945;-1.05698;-0.577362
459;2.33418;1.47356;-0.977367
459;2.74523;-1.3159;-0.600632
459;3.02487;-1.14535;-0.420149
459;4.18503;-2.01173;-0.770106
459;2.7301;-0.837881;-0.630358
459;2.77414;-0.851395;-0.640526
459;2.78883;-0.947028;-0.65438
459;2.85225;-0.974858;-0.573284
459;2.78737;-1.23627;-0.595509
459;2.72049;-1.40193;-0.709408
459;2.94365;-1.21336;-0.418667
459;3.01057;-1.13439;-0.516337
459;2.92952;-1.40821;-0.539074
459;2.92294;-1.51268;-0.552631
459;2.77483;-0.769636;-0.539974
459;2.77414;-0.851395;-0.640526
459;2.8378;-0.877777;-0.560767
459;2.85225;-0.974858;-0.573284
459;2.8434;-1.1672;-0.498358
459;2.72049;-1.40193;-0.709408
459;3.01057;-1.13439;-0.516337
459;2.92952;-1.40821;-0.539074
459;2.87132;-1.59567;-0.55884
459;2.71578;-1.84899;-0.688641
459;2.73753;-2.95555;-0.680196
459;4.06077;-0.605292;-0.886153
459;2.86377;-1.47878;-0.642817
459;2.85295;-1.58285;-0.658222
459;2.85616;-1.70092;-0.57337
459;2.89583;-1.72455;-0.581334
460;2.86377;-1.47878;-0.642817
460;2.68607;-0.824367;-0.620191
460;2.74912;-0.850347;-0.543243
460;2.79346;-0.864062;-0.552005
460;2.95799;-0.460419;-0.457536
460;2.72027;-1.30763;-0.500569
460;2.85707;-1.17767;-0.406353
460;2.8179;-1.35852;-0.422566
460;2.90329;-1.29671;-0.423605
460;2.71125;-0.74491;-0.616987
460;2.77483;-0.769636;-0.539974
460;2.81958;-0.78205;-0.548683
460;2.99797;-0.198143;-0.364072
460;2.72027;-1.30763;-0.500569
460;2.85707;-1.17767;-0.406353
460;2.87136;-1.28695;-0.324322
460;2.90329;-1.29671;-0.423605
460;2.83088;-1.5732;-0.550969
460;2.77483;-0.769636;-0.539974
460;2.81958;-0.78205;-0.548683
460;2.56293;-1.53123;-0.331495
460;0.470907;-2.72728;-0.485628
460;2.76173;-1.22918;-0.495528
460;2.90396;-1.10472;-0.310217
460;2.91111;-1.20482;-0.319459
460;2.95456;-1.2228;-0.324227
460;2.82286;-1.45765;-0.633634
460;2.88177;-1.49137;-0.544847
461;2.76848;-0.6877;-0.442959
461;2.79087;-0.780835;-0.45319
461;2.83588;-0.793429;-0.460499
461;2.77049;-1.14199;-0.394039
461;2.81378;-1.15983;-0.400196
461;2.93738;-1.02138;-0.306063
461;2.98963;-1.04488;-0.217984
461;3.06577;-0.973366;-0.217282
461;2.86377;-1.47878;-0.642817
461;2.67673;-0.914867;-0.538005
461;2.72061;-0.929865;-0.546825
461;2.7327;-1.02446;-0.559597
461;2.65922;-1.37315;-0.596901
461;3.10761;-2.57672;-0.256798
461;3.04348;-2.68773;-0.392081
461;2.68532;-0.74481;-0.522555
461;2.70478;-0.836632;-0.534481
461;2.76506;-0.861503;-0.456471
461;2.76449;-0.944863;-0.555644
461;2.71924;-1.21027;-0.487905
461;2.72027;-1.30763;-0.500569
461;2.85707;-1.17767;-0.406353
461;2.91111;-1.20482;-0.319459
461;2.95456;-1.2228;-0.324227
461;3.10761;-2.57672;-0.256798
461;3.05105;-2.69717;-0.270591
461;2.74585;-0.768241;-0.44588
461;2.79087;-0.780835;-0.45319
461;2.80966;-0.875398;-0.463833
461;2.71924;-1.21027;-0.487905
461;2.76173;-1.22918;-0.495528
461;2.90396;-1.10472;-0.310217
461;2.95567;-1.12947;-0.222205
461;2.99978;-1.14632;-0.225521
461;2.86377;-1.47878;-0.642817
461;2.87132;-1.59567;-0.55884
461;2.87935;-2.71339;-0.394295
462;2.73582;-0.686076;-0.352024
462;2.78142;-0.69751;-0.357891
462;2.79087;-0.780835;-0.45319
462;2.72278;-0.918225;-0.733025
462;2.67155;-1.30006;-0.135789
462;2.70943;-1.31426;-0.226191
462;2.7977;-1.26284;-0.135073
462;2.99978;-1.14632;-0.225521
462;3.04389;-1.16318;-0.228838
462;3.07995;-1.17167;-0.329019
462;3.10761;-2.57672;-0.256798
462;3.19749;-2.49249;-0.126954
462;2.67586;-0.833713;-0.441746
462;2.72046;-0.847608;-0.449108
462;2.73648;-0.940991;-0.46006
462;2.48576;-1.59798;-0.0717431
462;2.76449;-0.944863;-0.555644
462;2.80387;-0.974954;-0.292151
462;2.6585;-1.38267;-0.320021
462;2.70004;-1.40428;-0.325022
462;2.91422;-1.30616;-0.329163
462;2.95707;-1.32537;-0.334004
462;2.71345;-0.76525;-0.354909
462;2.72046;-0.847608;-0.449108
462;2.76506;-0.861503;-0.456471
462;2.58401;-1.45798;0.0263875
462;2.69809;-1.10286;-0.563863
462;2.6585;-1.38267;-0.320021
462;2.75177;-1.33479;-0.229725
462;2.95456;-1.2228;-0.324227
462;2.99801;-1.24079;-0.328995
462;3.04146;-1.25877;-0.333763
463;2.67107;-1.09646;-0.468154
463;2.72721;-1.12414;-0.387882
463;2.73251;-1.22043;-0.398687
463;2.73379;-1.31796;-0.409952
463;3.03929;-2.52482;-0.134014
463;3.07505;-2.55452;-0.13559
463;2.61844;-1.16134;-0.559418
463;2.63657;-1.26739;-0.485166
463;2.69173;-1.29769;-0.403645
463;2.62867;-1.46083;-0.511614
463;3.19513;-2.3278;-0.348631
463;3.31049;-2.26115;-0.343516
463;2.66152;-1.00287;-0.456472
463;2.67107;-1.09646;-0.468154
463;2.68982;-1.20136;-0.392457
463;2.69173;-1.29769;-0.403645
463;2.6895;-1.39521;-0.415306
463;3.0885;-2.39609;-0.594116
463;-0.617931;-3.61399;-0.43582
463;3.08195;-2.3939;-0.841682
463;-0.6252;-3.65651;-0.440947
463;4.07154;-0.531057;-0.377217
463;2.2218;-3.16163;0.833462
464;2.65708;-1.19091;-0.300119
464;2.70719;-1.21765;-0.217782
464;2.74279;-1.22933;-0.309801
464;2.79313;-1.2563;-0.224696
464;2.92352;-1.21956;-0.134367
464;3.00636;-1.15873;-0.0383352
464;3.0126;-1.26161;-0.0435781
464;4.06215;-2.28478;-0.0940877
464;4.1016;-2.31425;0.041885
464;2.7987;-0.713476;-0.188709
464;2.84458;-0.725172;-0.191803
464;2.65708;-1.19091;-0.300119
464;2.65982;-1.28618;-0.309838
464;2.64813;-1.37375;-0.408917
464;2.70004;-1.40428;-0.325022
464;2.67416;-1.01255;-0.371436
464;2.69387;-1.11491;-0.295618
464;2.70719;-1.21765;-0.217782
464;2.70204;-1.30659;-0.314756
464;2.75177;-1.33479;-0.229725
464;2.92352;-1.21956;-0.134367
464;2.96894;-1.24333;-0.0429465
464;2.96987;-1.34055;-0.143385
464;3.98637;-2.39888;-0.10317
464;4.02663;-2.42311;-0.104212
464;3.98511;-2.56185;-0.115017
465;2.71485;-0.944003;-0.282877
465;2.72796;-1.03777;-0.291416
465;2.71162;-1.22398;-0.130917
465;2.67119;-1.40615;0.032363
465;2.75313;-1.35373;0.126884
465;2.93963;-1.0503;0.237099
465;2.957;-1.14896;0.145369
465;3.00113;-1.16611;0.147539
465;3.0494;-1.18014;0.0555694
465;3.09359;-1.19725;0.0563747
465;2.64063;-1.08846;-0.375569
465;2.65708;-1.19091;-0.300119
465;2.62428;-1.36863;-0.227835
465;2.62604;-1.47703;-0.0608243
465;2.66604;-1.50426;0.0272252
465;2.9061;-1.1336;0.232933
465;2.88442;-1.31143;0.044554
465;2.92747;-1.331;0.0452189
465;2.97169;-1.3462;-0.0485844
465;3.00046;-2.48787;-0.247943
465;2.85703;-2.69859;-0.155401
465;2.63032;-0.995954;-0.365347
465;2.68396;-1.02103;-0.286716
465;2.72796;-1.03777;-0.291416
465;2.67155;-1.30006;-0.135789
465;2.62503;-1.48112;0.0268064
465;2.70906;-1.43107;0.121554
465;2.9061;-1.1336;0.232933
465;2.92012;-1.23231;0.140825
465;2.96778;-1.24764;0.0501521
465;3.0126;-1.26161;-0.0435781
466;2.78019;-0.800074;-0.107543
